runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count,latency_per_cpu
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,60.0,62.37,10.0164460181721,8.337,19.564599999999984,30.982930000000003,4.752,109.161,3742,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,10.0164460181721
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,80.0,82.63,11.505983864461475,8.4165,27.13524999999996,62.197030000000005,4.75,137.685,4958,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,11.505983864461475
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,100.0,98.56,11.30863189042949,8.729,25.403499999999973,39.808419999999984,4.281,202.619,5914,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,11.30863189042949
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,120.0,122.13,11.28565938864629,8.9605,24.46649999999999,39.55838999999998,4.516,208.617,7328,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,11.28565938864629
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,140.0,136.66,15.191417926829269,10.12,41.882499999999936,90.14519000000016,4.368,243.546,8200,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,15.191417926829269
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,160.0,159.3,11.865331240845366,9.5715,25.39144999999998,41.53229000000006,4.415,162.515,9558,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,11.865331240845366
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,180.0,185.31,15.67812840571891,11.621,38.556,63.12079999999996,4.347,365.121,11121,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,15.67812840571891
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,200.0,186.21,14.132048147485234,11.5085,30.931050000000003,47.20096000000002,4.283,127.176,11174,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,14.132048147485234
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,220.0,221.12,18.858394738825652,14.611,44.7881,72.29276000000002,4.703,163.932,13267,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,18.858394738825652
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,240.0,222.1,17.810949572264743,14.004,40.534,67.2875,4.655,122.352,13326,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,17.810949572264743
