timestamp,rps_test_running,pod_count,pod_names,cpu_usage_millicores,memory_usage_mib,cpu_limit_millicores,memory_limit_mib,cpu_request_millicores,memory_request_mib,pods_ready,pods_pending,pods_failed,scaling_events,avg_latency_ms
2025-07-27T12:42:44.616489,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,213,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:47.693385,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,213,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:50.729634,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,213,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:53.878613,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,213,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:56.872244,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,218,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:59.823756,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,218,54,0,0,0,0,1,0,0,,
2025-07-27T12:43:02.891163,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,218,54,0,0,0,0,1,0,0,,
2025-07-27T12:43:06.027824,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,218,54,0,0,0,0,1,0,0,,
2025-07-27T12:43:09.102644,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,218,54,0,0,0,0,1,0,0,,
2025-07-27T12:43:12.068102,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,211,52,0,0,0,0,1,0,0,,
2025-07-27T12:43:15.107179,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,211,52,0,0,0,0,1,0,0,,
2025-07-27T12:43:18.075768,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,211,52,0,0,0,0,1,0,0,,
2025-07-27T12:43:21.016019,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,211,52,0,0,0,0,1,0,0,,
2025-07-27T12:43:24.149234,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,211,52,0,0,0,0,1,0,0,,
2025-07-27T12:43:27.383475,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,196,53,0,0,0,0,1,0,0,,
2025-07-27T12:43:30.459108,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,196,53,0,0,0,0,1,0,0,,
2025-07-27T12:43:33.462769,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,196,53,0,0,0,0,1,0,0,,
2025-07-27T12:43:36.664549,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,196,53,0,0,0,0,1,0,0,,
2025-07-27T12:43:39.753055,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,196,53,0,0,0,0,1,0,0,,
2025-07-27T12:43:42.824888,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,274,53,0,0,0,0,1,0,0,,
2025-07-27T12:43:46.094617,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,274,53,0,0,0,0,1,0,0,,
2025-07-27T12:43:49.160637,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,274,53,0,0,0,0,1,0,0,,
2025-07-27T12:43:52.303826,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,274,53,0,0,0,0,1,0,0,,
2025-07-27T12:43:55.326066,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,274,53,0,0,0,0,1,0,0,,
2025-07-27T12:43:58.488781,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,285,52,0,0,0,0,1,0,0,,
2025-07-27T12:44:01.734958,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,285,52,0,0,0,0,1,0,0,,
2025-07-27T12:44:04.902630,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,285,52,0,0,0,0,1,0,0,,
2025-07-27T12:44:08.082138,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,285,52,0,0,0,0,1,0,0,,
2025-07-27T12:44:11.489803,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,272,53,0,0,0,0,1,0,0,,
2025-07-27T12:44:14.456782,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,272,53,0,0,0,0,1,0,0,,
2025-07-27T12:44:18.140828,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,272,53,0,0,0,0,1,0,0,,
2025-07-27T12:44:21.984239,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,272,53,0,0,0,0,1,0,0,,
2025-07-27T12:44:25.242592,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,272,53,0,0,0,0,1,0,0,,
2025-07-27T12:44:28.440423,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,328,58,0,0,0,0,1,0,0,,
2025-07-27T12:44:31.853302,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,328,58,0,0,0,0,1,0,0,,
2025-07-27T12:44:34.970111,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,328,58,0,0,0,0,1,0,0,,
2025-07-27T12:44:38.354689,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,328,58,0,0,0,0,1,0,0,,
2025-07-27T12:44:41.668403,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,325,53,0,0,0,0,1,0,0,,
2025-07-27T12:44:44.686346,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,325,53,0,0,0,0,1,0,0,,
2025-07-27T12:44:47.710074,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,325,53,0,0,0,0,1,0,0,,
2025-07-27T12:44:50.880271,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,325,53,0,0,0,0,1,0,0,,
2025-07-27T12:44:54.076641,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,325,53,0,0,0,0,1,0,0,,
2025-07-27T12:44:57.159783,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,320,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:00.315977,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,320,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:03.256537,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,320,53,0,0,0,0,1,0,0,,
