runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,220.0,115.55,8.29407370546661,6.4105,21.772,43.37295000000001,0.99,199.383,13866,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,240.0,114.61,8.814917914788426,6.7915,24.578549999999986,40.65216999999993,1.113,99.007,13754,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,260.0,140.65,15.36393595212703,9.152,53.00214999999997,100.91334999999998,1.05,254.37,16878,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,280.0,139.2,16.72647180316092,9.5685,58.090899999999976,103.3481000000004,1.014,345.634,16704,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,300.0,138.94,16.826662308845577,9.417,58.65449999999999,107.12377999999993,1.037,233.087,16675,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,20.0,10.0,9.215545833333334,7.297,19.60535,84.90261999999997,1.656,295.07,1200,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,40.0,19.98,6.855570475396164,6.8175,16.04895,25.89371000000009,1.301,83.144,2398,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,60.0,31.2,6.668170138888889,6.543,15.3295,25.092680000000005,1.088,108.806,3744,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,80.0,41.5,6.526848624774142,6.248,16.087,25.323199999999986,1.058,94.921,4981,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,100.0,49.52,6.619955073195356,6.468,15.416299999999987,23.85916,1.066,136.152,5943,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,120.0,61.13,7.817244753338784,6.499,20.460149999999988,41.19129000000001,1.076,107.968,7338,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,140.0,69.87,6.517328484559437,6.04,15.666199999999998,25.97741999999997,0.963,124.942,8387,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,160.0,80.15,7.654535807088661,6.314,19.455,43.09159999999992,0.969,117.98,9621,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,180.0,93.91,8.45460935143288,6.825,22.562,38.10109999999999,1.037,113.596,11271,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,200.0,95.52,7.377810973482205,6.4515,18.15255,29.08916000000013,0.988,109.573,11464,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,220.0,112.92,9.967960965171192,7.275,28.164849999999984,50.29103999999996,0.976,146.887,13552,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,240.0,115.61,7.955169068895935,6.5945,19.77275,33.22775,0.993,605.37,13876,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,260.0,137.91,16.57976332326284,9.692,57.4732,105.70169000000004,0.997,225.434,16550,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,280.0,137.36,16.31020297239915,10.147,53.00079999999999,93.46572,1.098,252.733,16485,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
python,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,300.0,138.45,17.33763938372653,9.9115,61.59275,118.79604999999997,0.953,257.403,16616,results_fibonacci_python_b5,48.847540983606564,52.89967021004098,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,20.0,10.0,6.6527666666666665,6.399,14.218549999999995,23.34415999999998,1.483,119.665,1200,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,40.0,20.0,6.38633375,6.08,14.477199999999998,23.41798999999997,1.269,62.97,2400,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,60.0,31.25,6.227365164043745,5.973,14.470199999999998,23.991359999999997,1.158,85.127,3749,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,80.0,41.55,6.141499297893681,5.741,14.219400000000002,24.48624,1.126,111.719,4985,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,100.0,49.68,5.87610382422006,5.542,14.194949999999992,22.847280000000016,1.029,84.559,5962,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
